LOCATION,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,POPULATION
Galway City,733.64,683.72,647.09,663.91,646.95,651.13,656.71,700.95,756.24,811.47,877.86,1521
Kerry,612.18,576.82,537.48,520.64,495.84,487.95,522.76,522.4,514.65,559.42,625.16,11470
"Tralee, Kerry",560.61,558.94,548.87,535.07,513.1,509.43,551.73,540.95,526.52,560.52,656.48,5204
Kildare,858.49,811.47,741.26,717.84,681.01,681.8,711.77,811.81,909.07,960.33,1013.47,1901
Kilkenny,699.79,632.53,558.69,515.75,510.94,511.28,520.02,543.41,564.87,612.56,685.69,3303
Laois,637.25,571.69,504.92,483.37,482.9,470.02,488.38,537.06,601.95,640.54,704.73,727
"Portlaoise, Laois",659.76,576.34,507.01,499.01,500.41,486.22,511.82,567.52,628.13,682.44,774.28,2784
Limerick,684.22,608.05,572.06,558.58,544.64,506.6,513.85,526.21,579.31,626.49,691.41,1380
Limerick City,784.59,674.74,587.37,562.42,557.09,533.23,530.03,541.74,586.65,631.32,725.57,1375
Louth,724.45,655.39,600.57,569.41,552.59,557.54,571.93,585.37,667.53,775.4,839.65,1652
"Drogheda, Louth",810.97,689.14,627.73,564.4,558,592.73,609.81,633.02,755.75,883.24,942.34,3362
Mayo,564.93,547.35,529.88,507.07,479.49,455.98,460.05,462.08,475.21,499.89,538.38,1302
Offaly,626.96,565.02,528.78,499.77,483.59,474.85,475.3,505.05,551.96,590.72,609.72,196227
Sligo,566.13,524.46,492.77,463.26,427.58,447.19,480.46,476.73,489.63,518.83,523.9,2376
Tipperary,602.47,559.89,521.06,499.35,501.98,494.14,505.35,516.54,525.46,551.28,580.66,51388
"Clonmel, Tipperary",641.9,590.34,544.21,522.24,537.55,524.39,536.54,581.2,577.45,611.56,631.86,24241
Waterford,641.91,606.4,557.88,525.6,496.92,472.99,473.55,487.58,535.88,591.71,630.02,9359
Westmeath,541.81,534.46,530.51,493.42,460.34,449.53,470.79,483.63,525.15,556.6,634.93,8109
"Mullingar, Westmeath",557.53,537.8,516.54,494.23,452.72,446.45,470.55,480.03,514.82,553.44,633.74,9679
Wexford,672.52,629.2,585.96,548.93,530.96,512.57,510.77,524.64,555.97,590.2,617.79,6950
"Enniscorthy, Wexford",685.58,625.93,571.46,538.69,521.1,487.75,485.4,500.91,520.68,541.85,565.03,4181
"Gorey, Wexford",670.97,630.11,580.14,550.11,541.75,512.84,523.28,562.02,625.69,666.87,694.42,3062
Wicklow,948.3,874.92,806.86,751.94,709.43,752.29,779.39,818.24,919.67,1006.77,1005.06,1907
"Bray, Wicklow",1051.96,986.3,907.43,883.11,841.65,911.22,965.55,1013.56,1085.1,1142.86,1154.75,5113
Carlow,748.37,699.41,652.57,627.62,608.51,596.53,600.09,623.4,656.92,697.28,740.74,6376
"Graiguecullen, Carlow",779.4,742.13,690.89,658.68,630.26,619.11,619.33,637.09,674.1,746.01,789.13,3345
"Tullow, Carlow",729.71,668.27,622.74,592.55,567.15,562.43,564.74,575.13,619.2,662,688.39,3611
Cavan,558.14,516.92,473.33,453.52,447.03,437.55,440.13,464.16,504.7,552.17,591.21,6741
Clare,706.53,639.31,581.65,549.66,530.4,518.47,516.37,539.96,579.74,621.79,679.92,5392
"Ennis, Clare",708.71,645.27,587.66,557.89,528.39,506.71,509.47,538.06,594.88,644.93,696.39,57078
Cork,866.79,799.87,741.69,715.17,711.67,711.23,731.83,782.37,846.61,904.1,951.44,5358
Cork City,941.08,841.06,798.02,777.99,786.51,788.55,817.13,876.81,949.91,1023.55,1072.75,22715
"Ballincollig, Cork",954.18,887.82,817.53,802.16,795.54,803.95,820.52,908.08,1016.08,1051.78,1118.44,6451
"Bandon, Cork",814.5,738.12,689.91,676.56,662.4,663.69,678.96,722.39,773.52,799.07,841.4,16264
"Bishopstown, Cork",998.01,883.3,862.1,796.6,779.85,828.03,917.34,996.78,1041.49,1078.09,1086.02,7353
"Blarney, Cork",858.55,823.63,758.72,728.01,734.85,734.92,751.8,797.53,844.98,890.75,945.37,8537
"Carrigaline, Cork",904.18,851.16,789.4,756.09,755.02,763.69,785.27,827.06,915.31,1001.82,1050.09,2811
"Carrigtwohill, Cork",854.94,797.1,772.2,759.16,737.78,738.66,755.77,783.81,836.29,884.14,945.36,5726
"Charleville, Cork",683.95,632.53,597.16,567.66,531.74,523.56,540.76,563.86,607.05,654.49,665.75,7810
"Clonakilty, Cork",807.02,738.29,645.34,609.63,613.27,612.85,640.48,661.5,652.58,696.28,760.38,3403
"Cobh, Cork",820.31,782.85,734.74,689.27,684.67,688.36,696.96,717.69,751.21,814.15,899.11,4407
"Douglas, Cork",1029.51,931.62,851.63,831.99,838.46,854.48,894.87,967.36,1066.61,1113.36,1158.08,5305
"Fermoy, Cork",748.12,690.18,640.34,615.17,586.08,575.17,599.87,643.91,690.99,746.74,822.12,2329
"Glanmire, Cork",951.7,863.8,797.89,771.97,774.31,803.65,833.81,892.25,932.52,1024.79,1116.19,2976
"Kanturk, Cork",666.92,593.89,527.26,501.71,454.5,458.66,472.9,509.3,543.38,585.8,688.37,25477
"Kinsale, Cork",926.03,888.9,857.6,817.11,795.47,808.13,831.27,893.72,955.46,1028.2,1113.83,10489
"Macroom, Cork",715.67,673.66,628.96,610.31,579.18,567.75,586.71,640.77,674.87,694.91,746.62,2583
"Mallow, Cork",755.42,707.99,641.68,613.75,591.93,593.48,609.33,639.5,707.27,775.91,828.13,7906
"Midleton, Cork",868.11,790.7,718.26,695,693.07,681.61,694.45,732.24,800.78,855.16,916.98,1726
"Rochestown, Cork",1065.33,982.99,884.66,877.64,898.24,928.59,976.01,1059.74,1168.57,1246.39,1274.31,6794
"Skibbereen, Cork",625.7,611.41,555.7,521.13,519.1,518.86,519.07,541.16,543.26,566.53,609.34,3391
"Wilton, Cork",975.6,853.73,792.66,783.77,796.48,819.98,822.34,879.5,939.25,1022.1,1010.62,3077
"Youghal, Cork",734.27,673.9,617.63,586.85,573.73,563.89,568.69,596.48,641.66,712.82,791.08,13230
Donegal,582.05,550.41,515.72,482.09,451.58,438.09,442.77,460.02,492.33,519.44,547.14,3291
"Ballybofey, Donegal",589.8,572.29,542.48,498.45,466.95,450.6,459.86,464.93,491.53,518.14,536.3,7172
"Letterkenny, Donegal",597.48,563.67,531.43,497.78,462.82,449.35,460.07,483.68,531.23,563.71,592.9,2767
"Killiney, Dublin",1388.38,1282.64,1154,1115.41,1134.9,1178.59,1327.07,1455.85,1535.84,1630.66,1761,28465
"Malahide, Dublin",1437.08,1342.91,1252.07,1231.98,1234.1,1291.54,1322.77,1390.43,1492.85,1695.25,1804.2,136277
"Monkstown, Dublin",1321.2,1203.32,1035.19,1107.86,1246.4,1225.52,1202.14,1344.71,1548.97,1583.73,1657.69,145240
"Rush, Dublin",1113.81,1032.41,948.09,883.12,876.49,876.72,910.8,1007.44,1031.79,1049.25,1205.14,104584
"Shankill, Dublin",1375.6,1250.16,1120.48,1109.67,1110.59,1160.77,1201.62,1300.84,1352.23,1476.11,1595.4,110546
"Skerries, Dublin",1119.72,1045.51,943.15,928.73,929.67,950.69,1004.72,1087.92,1160.56,1191.42,1284.49,49533
"Stillorgan, Dublin",1504.62,1408.81,1297.07,1287.53,1304.18,1362.7,1456.96,1556.32,1625.99,1722.97,1814.91,42811
"Swords, Dublin",1244.98,1144.49,1024.84,980.95,993.27,1007.81,1068.38,1139.52,1216.64,1311.32,1410.01,20587
Dublin 3,1321.58,1200.46,1055.81,1025.58,1080.79,1135,1202.67,1296.22,1391.32,1478.71,1641.04,63633
"Clontarf, Dublin 3",1443.78,1324.31,1219.62,1215.79,1211.47,1295.2,1392.49,1461.81,1603.98,1731.65,1836.31,96776
Dublin 4,1673.12,1504.24,1416.5,1448.33,1462.61,1529.33,1607.48,1769.46,1816.77,1939.65,2151.99,38838
"Ballsbridge, Dublin 4",1895.41,1635.24,1566.75,1596.88,1561.89,1604.82,1622.23,1803.78,1892.42,2055.57,2273.62,44082
"Sandymount, Dublin 4",1621.1,1609.52,1534.94,1476.1,1446.08,1617.58,1632.51,1615.79,1819.14,2002.46,2261.96,73722
Dublin 5,1326.56,1210.81,1082.06,1048.64,1032.95,1067.2,1149.96,1224.6,1281.86,1403.26,1565.21,70156
"Raheny, Dublin 5",1372.05,1225.86,1109.59,1104.52,1081.6,1153.91,1212.88,1329.15,1396.01,1525.06,1652.8,58785
"Ranelagh, Dublin 6",1367.68,1302.52,1262.28,1315.15,1187.11,1326.68,1462.03,1531.58,1579.93,1693.57,1930.58,61722
"Rathmines, Dublin 6",1318.1,1113.14,1009.37,1051.47,1134.04,1132.95,1253.49,1487.72,1411.44,1492.15,1847.24,73055
Dublin 6W,1458.2,1295.62,1164.13,1160.11,1207.1,1239.05,1315.13,1422.06,1494.76,1580.88,1737.17,97340
"Harolds Cross, Dublin 6W",1486.58,1349.17,1180.45,1130.93,1226.05,1273.55,1326.47,1329.72,1434.18,1565.25,1766.17,28713
"Templeogue, Dublin 6W",1388.68,1252.09,1138.67,1140.65,1152.43,1170.48,1194.25,1321.53,1460.62,1569.98,1686.17,68627
"Terenure, Dublin 6W",1485.31,1312.76,1204.04,1185.49,1270,1358.97,1376.34,1497,1576.48,1705.63,1866.25,79668
Dublin 7,1174.5,1083.33,995.61,963.97,980.99,1029.78,1109.45,1184.92,1263.63,1318.09,1406.05,35516
"Cabra, Dublin 7",1133.06,1070.9,982.18,954.97,947.42,995.19,1071,1138.37,1197.75,1262.73,1277.53,44152
"Navan Road, Dublin 7",1301.61,1217.15,1070.3,955.47,1048.16,1113.58,1154.62,1299.47,1429.4,1528.91,1638.36,57651
Dublin 8,1319.28,1129.25,1019.62,1032.42,1070.43,1090.98,1168.07,1265.1,1360.87,1460.49,1529.68,23750
Dublin 9,1294.64,1171.67,1061.15,1042.5,1050.91,1076.62,1158.74,1272.99,1356.64,1470.4,1577.75,33901
"Drumcondra, Dublin 9",1271.07,1159.21,1086.79,1090.95,1067.9,1069.3,1234.75,1345.01,1378.55,1518.92,1594.43,127663
"Santry, Dublin 9",1249.73,1148.68,1054.92,1020.84,1027.81,1056.31,1098.23,1209.05,1317.61,1371.36,1527.46,37800
"Whitehall, Dublin 9",1347.36,1202.47,1048.35,1020.98,1016.41,1045.56,1120.82,1295.23,1357.77,1421.51,1500.24,89863
Dublin 10,1201.48,1104.15,989.04,935.32,919.34,917.99,958.14,1022.33,1099.47,1189.1,1265,16064
"Ballyfermot, Dublin 10",1221.14,1118.59,998.62,934.8,910.62,910.05,939.42,1010.45,1103.76,1172.77,1249.83,65047
Dublin 11,1228.52,1116.7,1002.65,948.46,948.57,961,1025.06,1146.61,1211.29,1295.05,1392.67,32377
"Finglas, Dublin 11",1177.52,1085.74,959.03,895.39,883.05,915.05,975.18,1048.01,1112.55,1209.54,1315.27,32365
"Glasnevin, Dublin 11",1384.56,1211.22,1086.49,1027.66,1042.63,1073.98,1157.78,1301.17,1385,1408.81,1556.52,148218
Dublin 12,1273.95,1129.85,1021.55,995.38,1005.36,1018.46,1077.78,1207.77,1264.6,1332.15,1433.85,38330
"Crumlin, Dublin 12",1293.64,1119.17,977.1,960.36,991.59,1010.6,1046.23,1174.91,1267.42,1345.19,1420.79,79022
"Drimnagh, Dublin 12",1264.26,1141.51,1020.04,969,972.61,976.05,1066.59,1174.07,1251.28,1328.69,1374.16,30866
"Churchtown, Dublin 14",1598.08,1348.01,1245.13,1249.57,1290.65,1336.51,1421.98,1490,1576.98,1675.53,1927.91,15971
"Dundrum, Dublin 14",1641.71,1432.5,1271.7,1256.55,1253.52,1294.37,1417.97,1528.66,1665.45,1824.04,1945.84,167682
"Rathfarnham, Dublin 14",1358.29,1256.18,1184.27,1165.83,1167.31,1233.36,1293.79,1406.86,1566.01,1657.53,1826.92,77274
Dublin 15,1221.47,1122.79,1012.6,972.03,972.79,996.81,1047.01,1130,1221.16,1299.84,1370.31,80627
"Blanchardstown, Dublin 15",1203.76,1123.49,1010.71,948.36,936.29,940.52,991.91,1071.07,1147.55,1250.3,1286.87,56201
"Castleknock, Dublin 15",1250.41,1159.76,1051.48,1011.03,1020.74,1080.54,1136.58,1230.78,1352.3,1436.3,1499.31,61394
"Clonee, Dublin 15",1198.27,1105.1,1022.11,973.87,970.89,999.75,1053.3,1141.21,1246.78,1293.5,1329.94,26835
"Clonsilla, Dublin 15",1216.69,1107.87,995.37,955.04,957.65,977.97,1027.84,1106.22,1174.16,1266.4,1380.99,24060
"Mulhuddart, Dublin 15",1160.29,1063.55,979.15,948.06,922.04,913.38,955.09,1020.38,1116.17,1180.53,1259.46,11458
"Tyrrelstown, Dublin 15",1228.82,1136.98,985.37,984.07,1017.17,1020.36,1055.12,1161.19,1230.44,1289.73,1335.45,35809
Dublin 16,1370.15,1262.13,1169.07,1137.26,1147.3,1190.09,1268.58,1368.1,1479.06,1557.39,1657.08,52535
"Ballinteer, Dublin 16",1362.4,1250.46,1176.62,1166.39,1159.38,1205.63,1311.36,1419.31,1521.75,1605.87,1714.38,21291
"Knocklyon, Dublin 16",1324.36,1230.27,1145,1094.14,1101.67,1164.79,1282.15,1356.27,1402.14,1470.97,1602.72,24457
"Rathfarnham, Dublin 16",1410.65,1300.38,1159.27,1139.23,1170.03,1218,1268.17,1359.36,1479.58,1534.3,1652.48,39838
Dublin 17,1199.67,1149.79,1024.55,985.15,971.55,987.9,1098.61,1160.68,1182.09,1294.07,1441.74,37881
"Cabinteely, Dublin 18",1417.4,1300.29,1156.06,1176.76,1257.72,1274.54,1360.07,1426.75,1515.8,1641.96,1719.47,31462
"Leopardstown, Dublin 18",1491.94,1335.71,1210.61,1205.25,1235.88,1296.68,1391.09,1517.72,1604.42,1675.8,1846.15,149638
"Sandyford, Dublin 18",1441.25,1284.77,1160,1178.98,1233.45,1241.02,1322.79,1462.18,1585.97,1666.61,1633.39,37732
Dublin 20,1229.73,1147.26,1039.65,976.96,954.59,978.17,1041.4,1182.59,1313.08,1353.45,1429.31,111906
"Palmerstown, Dublin 20",1224.67,1143.95,1038.86,958.11,932.58,974.93,1044.78,1158.57,1281.37,1352.2,1446.33,38666
"Clondalkin, Dublin 22",1184.98,1076.08,959.83,923.77,916.55,931.65,995.05,1060.32,1123.22,1199.46,1284.17,55132
Dublin 24,1243.8,1125.46,1017.2,976.04,966.99,976.47,1029.14,1119.13,1199.98,1270.89,1377.86,17121
"Ballycullen, Dublin 24",1342.5,1204.44,1107.46,1068.98,1063.37,1050.33,1155.23,1278.55,1301.81,1412,1550.16,38011
"Firhouse, Dublin 24",1266.07,1162.97,1086.07,1045.06,1037.22,1056.93,1103.93,1193.27,1277.58,1344.64,1424.03,43648
"Tallaght, Dublin 24",1222.57,1110,996.55,955.02,944.2,950.6,1004.42,1091.6,1182.45,1259.05,1362.49,19294
Galway,807.63,742.74,691.04,683,686.55,681.33,696.75,741.21,783.37,833.04,885.06,24354
Galway City,874.88,797.08,746.68,747.42,749.28,755.64,775.61,817.15,864.71,931.6,985.97,31845
"Athenry, Galway",701.41,640.43,566.04,550.37,550.36,560.33,581,630.88,677.85,759.39,877.31,13662
"Ballinasloe, Galway",639.64,560.95,533.03,483.71,471.17,472.04,476.11,499.7,530.22,551.42,593.08,18183
"Ballybane, Galway",770.46,742.68,706.9,767.83,774.09,780.94,823.39,799.67,802.16,849.99,894.12,150382
"Ballybrit, Galway",831,792.48,747.5,726.44,727.08,731.52,739.9,758.08,850.43,990.74,1012.11,71990
"Doughiska, Galway",939.85,809.64,746.17,723.58,742,743.73,780.19,833.7,896.2,998.86,1031.63,23617
"Gort, Galway",670.34,600.24,511.4,485.63,464.54,467.13,471.83,517.3,577.11,622.08,664.08,48373
"Headford, Galway",826.35,760.8,738.31,765.04,772.37,755.8,751.47,781.28,817.8,883.83,983.75,8545
"Knocknacarra, Galway",855.87,827.13,777.09,750.58,760.9,777.25,827.08,885.62,898.36,946.2,1009.97,34810
"Loughrea, Galway",601.59,539.81,494.71,479.72,473.55,480.52,491.81,530.16,610.61,668.64,697.34,17211
"Newcastle, Galway",928.34,850.43,813.9,808.66,834.81,869.44,832.22,859.95,903.74,940.68,1004.95,17826
"Oranmore, Galway",808.29,764.99,692.07,693.38,711.02,705.98,726.34,783.14,829.52,907.95,956.14,80694
"Renmore, Galway",858.5,801.6,726.48,708.21,694.44,711.2,724.46,768.36,805.25,855.79,919.47,21004
"Tuam, Galway",614.98,583.48,513.55,484.59,465.17,466.83,475.58,524.42,569.96,632.02,705.59,42725
Kerry,700.63,652.82,608.02,577.22,551,549.34,565.13,577.38,600.14,632.65,672.89,16965
"Tralee, Kerry",710.79,677.37,642.35,607.05,575.64,572.75,587.83,599.14,616.66,636.28,668.5,10648
Kildare Town,917.53,829.64,759,735.92,728.4,730.59,765.33,831.47,896.98,993.03,1053.61,85619
"Athy, Kildare",768.73,701.95,625.97,577.52,552.99,553.62,575.98,626,704.38,762.69,833.43,51644
"Celbridge, Kildare",1106.19,1014.63,917.91,881.93,870.43,886.53,952.11,1050.47,1140.23,1207.66,1259.92,57098
"Clane, Kildare",1061.94,955.63,825.3,793.73,786.03,812.59,873.52,941.83,1077.43,1125.97,1170.31,42502
"Kilcullen, Kildare",942.9,892.35,810.81,738.64,719.26,749.63,780.85,829.29,919.88,950.16,1038.98,43198
"Leixlip, Kildare",1129.88,1038.3,932.2,925.45,910.05,917.36,978.71,1098.75,1194.13,1215.83,1257.07,19650
"Maynooth, Kildare",1162.91,1090,984.29,936.71,909.9,949.98,996.64,1102.13,1190.92,1301.14,1336.49,16056
"Naas, Kildare",1048.61,955.16,860.94,816.34,805.24,822.22,888.44,969.74,1036.33,1104.1,1196.2,7724
"Newbridge, Kildare",1031.38,939.17,840.54,804.24,785.74,782.85,799.89,855.66,937.65,1007.6,1065.93,23627
"Sallins, Kildare",1050.45,970.74,843.39,799.5,797.09,828.48,852.41,970.93,1063.53,1144.1,1226.7,38827
Kilkenny,766.62,695.96,631.54,601.7,581.89,588.97,601.79,627.02,679.74,727.33,787.16,15084
Kilkenny City,769.49,710.3,627.56,613.38,602.73,611.25,628.92,646.67,695.7,756.64,827.11,16714
Laois,704.26,637.5,561.52,543.07,535.29,529.17,546.26,588.76,641.9,693.49,754.81,28540
"Portarlington, Laois",677.82,618.02,544.05,520.55,514.3,504.36,506.9,565.21,636.57,683.37,711.99,27694
Leitrim,545.38,496.79,446.91,424.37,404.49,398.92,402.75,417.13,444.61,481.69,510.92,23490
"Carrick-On-Shannon, Leitrim",583.67,513.88,445.72,421.55,417.22,407.8,411.65,445.75,493.64,528.44,545.87,103033
Limerick,757.48,701.94,658.21,644.82,628.98,619.32,626,657.84,702.55,757.53,840.83,19649
Limerick City,790.44,725.67,677.53,657.04,633.86,636.39,646.55,680.36,716.9,781.47,886.29,83384
"Castletroy, Limerick",837.65,754.51,714.48,694.91,664.99,652.99,686.18,735.06,797.04,842.88,957.3,29609
"Corbally, Limerick",769.15,718.42,671.91,666.35,649.13,642.11,651.55,667.78,689.48,776.42,836.64,36283
"Dooradoyle, Limerick",823.51,765.78,712.53,694.31,679.02,676.76,696.2,736.05,788.57,859.64,967.13,9348
"Newcastle West, Limerick",620.8,565.69,531.62,510.11,495.18,488.6,502.04,517.82,552.72,583.68,651.4,26935
"Raheen, Limerick",792.15,722.13,669.88,653.56,639.04,656.89,672.8,705.33,751.65,835.93,953.56,30636
"Ballymahon, Longford",588.64,548.97,498,459.11,434.13,396.67,402.36,433.61,478.63,508.59,580.77,16689
"Edgeworthstown, Longford",557.41,523.16,442.08,410.46,394.1,387.24,394.6,403.32,445.3,496.39,533.48,21779
Louth,813.07,748.52,678.56,642.68,627.6,628.77,644.02,685.42,768.9,867.29,949.49,8263
"Ardee, Louth",747.64,706.15,658.19,607.6,604.47,601.78,625.34,644.09,676.04,794.55,878.69,13516
"Drogheda, Louth",900.78,805.78,717.76,681.71,667.04,669.65,692.63,759.22,863.9,976.96,1036.01,106578
"Dundalk, Louth",719.79,687.5,640.46,618.33,599.02,597.05,608.35,639.74,710.47,796.02,899.55,48631
Mayo,642.91,611.31,573.61,539.14,511.23,496.37,495.81,507.91,526.68,550.84,587.08,12143
"Ballina, Mayo",610.47,601.09,599.17,574.93,553.84,532.38,526.7,536.45,550.5,563.55,586,36488
"Ballyhaunis, Mayo",615.92,551.21,500.09,472.36,459.83,447.21,436,436.66,450.18,470.2,466.39,6426
"Castlebar, Mayo",660.2,625.53,593.15,550.31,520.11,513.9,512.32,528.16,556.66,584.65,622.77,26042
"Claremorris, Mayo",637.07,591.08,536.39,517.15,501.45,475.57,474.54,491.58,523.51,560.69,617.51,13036
"Westport, Mayo",735.38,715.62,668.06,629.46,603.79,597.92,588.05,599.81,629.05,658.67,710.55,12443
Meath,891.15,810.66,729.22,689.56,678.39,684.69,725.44,793.3,882.17,972.67,1050.3,58555
"Ashbourne, Meath",1060,960.15,887.05,878.49,889.62,895.45,941.57,1015.38,1087.47,1175.52,1256.58,15022
"Kells, Meath",748.93,660.95,576.91,556.31,569.62,564.72,569.77,616.46,689.53,770.78,806.12,31415
"Navan, Meath",843.21,777.9,708.98,675.67,655.04,654.97,691.6,760.61,860.87,970.1,1080.15,12118
"Birr, Offaly",632.51,587.92,569.34,540.44,524.32,531.08,530.09,538.54,549.42,564.6,583.64,10245
"Tullamore, Offaly",713.79,649,598.73,577.7,563.49,561.68,573.1,603.42,654.88,693.81,765.38,82068
Roscommon,590.93,544.87,499.92,478.75,450.84,441.38,448.14,456.25,470.11,504.33,553.78,49658
"Athlone, Roscommon",706.63,664.2,615.76,598.73,586.19,572.65,590.64,619.16,640.2,691.45,781.06,54606
"Ballaghaderreen, Roscommon",551.96,516.16,488.8,460.09,409.06,375.38,342.7,352.7,366.13,390.63,406.5,40663
"Boyle, Roscommon",524.51,487.84,448.26,412.54,400.98,399.62,390.53,394.27,421.43,451.89,478.86,41487
"Castlerea, Roscommon",570.33,537.29,475.04,448.07,411.68,393.09,402.92,419.95,421.1,465.07,504.29,18944
Sligo,648.95,613.86,585.06,578.32,567.79,549.2,553.94,575.68,611.8,634.76,667.3,15426
"Ballinode, Sligo",838.97,894.12,949.42,903.83,915.94,878.66,866.86,852.52,944.77,945.38,984.49,7416
Tipperary,694.29,646.27,604.32,580.17,564.33,553.45,558.49,574.3,589.75,623.92,659.25,22708
Tipperary Town,651.56,588.08,575.61,547.52,525.8,516.98,517.89,527.85,540.63,562.21,593.52,37332
"Cahir, Tipperary",720.3,666.84,607.78,583.22,572.42,547.96,557.78,563.09,574.81,585.97,624.68,14599
"Cashel, Tipperary",712.73,621.49,573.3,561.53,537.29,525.23,526.45,553.11,577.3,621.85,660.54,16096
"Clonmel, Tipperary",737.9,691.46,663.08,636.16,619.57,606.6,617.12,647.72,661.41,705.82,739.98,27154
"Nenagh, Tipperary",694.88,658.84,603.1,555.92,540.84,533.05,535.87,550.86,567.45,592.42,655.5,26354
"Thurles, Tipperary",630.15,619.13,581.65,564.39,551.02,533.99,533.53,542.69,567.4,595.27,614.86,22525
Waterford,737.82,687.48,637.38,621.91,606.3,595.13,592.6,611.63,645.74,691.31,747.33,99250
Waterford City,766.43,707.43,656.71,648.3,635.44,619.08,621.25,644.2,676.78,726.99,790.07,18989
"Dungarvan, Waterford",718.09,661.92,607.13,583.15,560.54,558.26,561.04,571.06,606.99,655.95,699.1,80261
"Dunmore Road, Waterford",810.02,754.85,684.32,662.12,649.83,632.2,644.78,678.63,705.17,763.46,836.84,28450
"Ferrybank, Waterford",791.12,735.08,683.8,663.92,635.11,619.78,621.92,650.4,693.6,746.09,791.27,35100
"Templars Hall, Waterford",734.25,635.07,577.48,726.5,758.82,780.01,769.82,805.83,781.27,807.71,922.38,8985
"Tramore, Waterford",726.57,679.7,617.26,580.18,566.47,552.37,556.21,578.12,612.46,653.88,719.73,26115
Westmeath,656.54,607.16,568.98,545.77,531.2,525.01,537.22,566.3,617.99,662.03,704.99,29540
"Athlone, Westmeath",673.59,628.33,606.36,583.5,551.52,544.62,556.46,587.79,632.69,662.44,715.94,13464
"Moate, Westmeath",617.26,591.22,554.9,527.82,514.82,488.05,500.61,523.73,581.52,622.32,700.42,16076
"Mullingar, Westmeath",657.2,608.14,563.79,541.5,531.98,525.72,537.82,569.24,622.65,672.73,704.13,20821
Wexford,721.56,677.3,629.02,601.46,581.54,565.92,566.88,582.46,611.13,649.44,699.76,7902
"Enniscorthy, Wexford",716.68,664.73,604.58,582.97,565.62,538.79,535.3,555.21,581,594.72,627.22,47000
"Gorey, Wexford",734.84,685,628.64,604.2,583.69,563.55,573.3,612.24,658.59,718.5,793.04,11680
"New Ross, Wexford",686.91,650.77,611.54,577.54,545.28,542.93,546.48,539.94,552.87,589.69,626.58,35320
Wicklow,1097.1,1008.86,916.24,858.3,836.13,843.68,885.54,954.14,1032.5,1128.56,1181.06,6141
Wicklow Town,1049.83,959.12,877.9,790.85,781.53,781.86,805.2,884.94,988.59,1060.74,1101.98,25092
"Arklow, Wicklow",805.18,764.76,730.45,710.44,682.54,658.49,666.73,697.19,752.06,833.4,921.13,12556
"Bray, Wicklow",1268.16,1156.54,1056.24,995.9,994.13,1014.04,1075.52,1180.76,1252.01,1323.41,1358.84,12023
"Greystones, Wicklow",1280.33,1185.1,1075.69,1018.7,1008.42,1023.88,1147.71,1215.21,1317.44,1429.77,1494.95,56751
Carlow,786.03,744.33,707.76,656.57,692.9,681.63,711.51,723.52,788.4,797.02,822.98,14503
Cavan,662.64,606.02,549.19,507.51,498.8,496.41,503.16,526.58,580.86,624.89,653.73,30404
Clare,760.42,705.25,650.6,609.26,581.96,566.08,563.48,602.52,653.22,692.58,728.78,11844
"Ennis, Clare",775.73,710.55,654.82,612.95,579.15,563.79,570.05,607.84,659.51,707.48,738.44,65361
Cork,1076.75,997.71,913.51,858.04,863.45,895.23,935.95,1005.63,1048.85,1093.24,1154.42,37858
Cork City,1223.88,1115.08,1033.28,994.62,993.88,1021.91,1067.07,1132.85,1206.75,1282.6,1318.82,867
"Ballincollig, Cork",1064.47,1001.68,900.92,881.77,901.59,915.62,973.78,1035.64,1088.17,1185.38,1296.37,19249
"Bishopstown, Cork",1174.11,1096.79,1018.27,1071.92,1024.77,1070.66,1168.83,1139.25,1331.29,1369.77,1286.61,7992
"Douglas, Cork",1220.75,1116.52,1009.2,929.19,1004.18,1026.54,1038.03,1133.37,1243.77,1256.67,1331.54,2850
"Mallow, Cork",880.62,803.92,732.12,669.49,651.47,650.72,669.33,712.23,790.9,829.38,878.95,4054
"Midleton, Cork",991.52,909.22,820.36,789.19,775.18,776.96,787.76,823.12,915.36,986.18,1028.67,4353
"Wilton, Cork",1197.58,1072.84,963.77,964.84,951.95,971.49,996.07,1115.99,1219.59,1206.72,1267.37,2992
Donegal,640.31,604.95,577.31,535.14,505.73,498.59,505.15,514.09,541.11,569.31,591.81,1231
"Letterkenny, Donegal",659.62,625.7,592.36,556.18,525.27,507.52,526.41,538.52,579.14,611.33,639.32,1123
Dublin,1687.61,1537.05,1367.66,1333.42,1341.12,1394.8,1484.38,1601.45,1678.01,1802.04,1929.93,654
"Blackrock, Dublin",2060.61,1841.59,1669.74,1688.88,1748.82,1860.2,1978.57,2138.55,2231.13,2361.79,2461.04,2067
"Lucan, Dublin",1356.42,1263.7,1138.22,1097.25,1090.95,1106.85,1166.45,1264.41,1362.7,1471.07,1662.48,2629
"Malahide, Dublin",1753.69,1629.47,1508.59,1467.11,1458.3,1508.33,1553.57,1732.69,1827.34,1921.87,2105.46,1149
"Stillorgan, Dublin",1946.38,1711.13,1587.8,1625.45,1677.22,1764.82,1839.54,1886.74,2130.7,2373.37,2506.52,1344
"Swords, Dublin",1518.72,1358.44,1172,1101.54,1101.59,1163.7,1225.61,1353.78,1443.23,1468.35,1523.58,2370
